SRR1387945	GTEX-13SLX
SRR660091	GTEX-T5JC
SRR1357434	GTEX-12ZZX
SRR821581	GTEX-WL46
SRR1325927	GTEX-13O3O
SRR1317494	GTEX-13OW8
SRR1332275	GTEX-ZAB4
SRR1465356	GTEX-13OW6
SRR1432823	GTEX-13X6K
SRR1385080	GTEX-12WSM
SRR1431345	GTEX-13X6I
SRR1400997	GTEX-147GR
SRR1353157	GTEX-13O3Q
SRR1349829	GTEX-13X6J
SRR5588939	0_SH-94-35_SH-94-35
SRR5605699	0_UMARY-1831_UMARY-1831
