SM-CTDTL	316_120501
SM-CTDTM	369_120502
SM-CTDTR	21_120411
SM-CTDU4	150_120419
SM-CTDTS	64_120417
SM-CTDTP	329_120501
SM-CTDU1	307_120430
SM-CTDU2	515_120515
SM-CTDTQ	548_120516
SM-CTDS5	510_120515
SM-CTDS6	718_120531
SM-CTDS4	511_120515
SM-CTDS7	649_120529
SM-CTDSB	259_120426
SM-CTDSF	134_120419
SM-CTDSC	253_120426
SM-CTDSD	290_120430
SM-CTDSI	364_120502
SM-CTDSJ	350_120501
SM-CTDSG	40_120416
SM-CTDSN	371_120502
SM-CTDSK	334_120501
SM-CTDSL	375_120502
SM-CTDT2	657_120529
SM-CTDSR	69_120417
SM-CTDSO	281_120430
SM-CTDT1	491_120515
SM-CTDSP	355_120501
SM-CTDR4	416_120503
SM-CTDQT	277_120430
SM-CTDR5	475_120514
SM-CTDQQ	575_120521
SM-CTDR2	451_120507
SM-CTDQR	258_120426
SM-CTDR3	443_120507
SM-CTDQW	241_120426
SM-CTDR8	309_120430
SM-CTDR9	345_120501
SM-CTDQX	244_120426
SM-CTDQU	231_120425
SM-CTDR6	420_120507
SM-CTDR7	367_120502
SM-CTDQV	243_120426
SM-CTDQY	466_120514
SM-CTDQZ	485_120515
SM-CTDRA	337_120501
SM-CTDRD	347_120501
SM-CTDRE	331_120501
SM-CTDRB	153_120423
SM-CTDRC	152_120419
SM-CTDRH	287_120430
SM-CTDRI	489_120515
SM-CTDRF	160_120423
SM-CTDRG	254_120426
SM-CTDRM	101_120418
SM-CTDRJ	142_120419
SM-CTDRN	179_120424
SM-CTDRO	927_131031
SM-CTDQG	461_120514
SM-CTDQH	389_120503
SM-CTDQE	463_120514
SM-CTDQF	471_120514
SM-CTDQK	415_120503
SM-CTDQI	224_120425
SM-CTDQJ	437_120507
SM-CTDQO	537_120516
SM-CTDR1	419_120507
SM-CTDQP	563_120517
SM-CTDQM	402_120503
SM-CTDQN	531_120516
SM-CJGNZ	250_120426
