SRR4407823	SAMN05891438
SRR4407820	SAMN05891436
SRR934957	SAMN02251139
SRR934908	SAMN02251146
SRR934805	SAMN02251167
SRR934808	SAMN02251165
SRR3438739	SAMN04901220
ERR1363339	SAMEA3931523
ERR1363337	SAMEA3931521
SRR934828	SAMN02251196
SRR934825	SAMN02251189
SRR934803	SAMN02251195
SRR934847	SAMN02251188
SRR2015767	SAMN03651510
SRR2071347	SAMN02999519
SRR934832	SAMN02251156
SRR934835	SAMN02251160
SRR4407821	SAMN05891410
SRR4407799	SAMN05891408
SRR4407810	SAMN05891409
SRR4407846	SAMN05891414
SRR934884	SAMN02251240
SRR934887	SAMN02251241
SRR934876	SAMN02251248
SRR934726	SAMN02251272
SRR934761	SAMN02251279
SRR934746	SAMN02251280
SRR934871	SAMN02251235
SRR934886	SAMN02251236
SRR934866	SAMN02251233
SRR5361429	SAMN06621763
SRR934843	SAMN02251182
SRR934816	SAMN02251179
SRR1475022	GTEX-ZDXO
SRR1479759	GTEX-14BIN
SRR1444479	GTEX-11WQC
SRR1473822	GTEX-ZV68
SRR818971	GTEX-WWYW
SRR1499823	GTEX-YJ89
SRR1386818	GTEX-Z93S
SRR663261	GTEX-QMR6
SRR1488285	GTEX-13PL6
SRR1413959	GTEX-13O3Q
SRR1321786	GTEX-13OW6
SRR598428	GTEX-Q2AG
SRR1391598	GTEX-13FHO
SRR1084484	GTEX-XMD1
SRR1403831	GTEX-13X6J
SRR1360868	GTEX-13OW6
SRR1467011	GTEX-YFC4
SRR816721	GTEX-WZTO
SRR1466641	GTEX-Y8DK
SRR1415895	GTEX-ZAB4
SRR1382570	GTEX-12ZZZ
SRR1500998	GTEX-ZF28
SRR1387833	GTEX-ZVZQ
SRR1360744	GTEX-13QJC
SRR1098336	GTEX-X4XX
SRR1472301	GTEX-12WSF
SRR1416889	GTEX-13X6I
SRR661325	GTEX-T2IS
SRR817629	GTEX-WL46
SRR1440876	GTEX-13SLW
SRR818057	GTEX-X261
SRR1385124	GTEX-131YS
SRR1403050	GTEX-13X6J
SRR1321462	GTEX-1313W
SRR1337074	GTEX-ZUA1
SRR1403222	GTEX-13NYB
SRR602271	GTEX-OXRO
SRR1330061	GTEX-13112
SRR1486863	GTEX-YFC4
SRR1429641	GTEX-13OW8
SRR1420493	GTEX-1313W
SRR1358183	GTEX-13O3O
SRR608174	GTEX-N7MS
SRR1478077	GTEX-13G51
SRR1452447	GTEX-13FHO
SRR1075898	GTEX-WZTO
SRR659484	GTEX-QDT8
SRR1339549	GTEX-14BIN
SRR655555	GTEX-PVOW
SRR1409534	GTEX-147GR
SRR1485333	GTEX-13SLX
SRR604074	GTEX-Q2AG
SRR1332856	GTEX-11UD1
SRR1398157	GTEX-Z93S
SRR1444932	GTEX-13PVQ
SRR1487107	GTEX-145MH
SRR1334741	GTEX-12ZZX
SRR602622	GTEX-NL4W
SRR1336006	GTEX-ZXG5
SRR1366961	GTEX-ZF28
SRR604366	GTEX-NPJ8
SRR1415337	GTEX-13NYB
SRR1389348	GTEX-12WSD
SRR1382869	GTEX-145MI
SRR1431229	GTEX-13CF2
SRR820518	GTEX-WHSE
SRR1330675	GTEX-12ZZZ
SRR1394713	GTEX-145MG
SRR818110	GTEX-WHSE
SRR820292	GTEX-S7PM
SRR612380	GTEX-QVJO
SRR1331534	GTEX-11NV4
SRR1434934	GTEX-13RTJ
SRR1316254	GTEX-12WSF
SRR1419714	GTEX-13S7M
SRR1368222	GTEX-13CZV
SRR821019	GTEX-X4EP
SRR1313932	GTEX-13O3Q
SRR1375635	GTEX-ZE7O
SRR1457551	GTEX-ZE7O
SRR1443201	GTEX-11GSP
SRR1429957	GTEX-13PLJ
SRR1434138	GTEX-12WSD
SRR1458180	GTEX-13FXS
SRR1418283	GTEX-13OW5
SRR1436106	GTEX-132Q8
SRR1341008	GTEX-Z93S
SRR1457597	GTEX-12WSD
SRR1099023	GTEX-X261
SRR819946	GTEX-NPJ7
SRR1420215	GTEX-13O3O
SRR598276	GTEX-N7MS
SRR662689	GTEX-P44H
SRR1466975	GTEX-13N2G
SRR608598	GTEX-OHPN
SRR607538	GTEX-NPJ8
SRR1385015	GTEX-13X6I
SRR1474684	GTEX-13VXU
SRR1389036	GTEX-13OVL
SRR655111	GTEX-QMR6
SRR1410264	GTEX-13X6K
SRR1498482	GTEX-12WS9
SRR1472394	GTEX-13JUV
SRR1400269	GTEX-13X6K
SRR1410783	GTEX-13N2G
SRR657587	GTEX-T6MN
SRR1391639	GTEX-13FLV
SRR1312103	GTEX-12WSM
SRR1457221	GTEX-ZDXO
SRR659899	GTEX-T6MN
SRR821434	GTEX-WL46
SRR1384030	GTEX-13PVQ
SRR1472663	GTEX-12WSM
SRR820133	GTEX-X4EP
SRR1472079	GTEX-ZVZQ
SRR1316127	GTEX-12ZZY
SRR1479779	GTEX-13O3O
SRR1339530	GTEX-13FXS
SRR1315145	GTEX-14BIN
SRR1331289	GTEX-1477Z
SRR817686	GTEX-X4XX
SRR598638	GTEX-NL3H
SRR1383723	GTEX-13SLX
SRR1375616	GTEX-13NZA
SRR818146	GTEX-WHSE
SRR1458044	GTEX-12WSA
SRR1410448	GTEX-13X6K
SRR1477615	GTEX-13IVO
SRR665670	GTEX-T2IS
SRR1314767	GTEX-13RTJ
SRR1469495	GTEX-11TUW
SRR1339218	GTEX-131YS
SRR817927	GTEX-WWYW
SRR660638	GTEX-QDT8
SRR1359673	GTEX-132Q8
SRR1418604	GTEX-14753
SRR1410956	GTEX-12WSH
SRR1381757	GTEX-13JVG
SRR1328919	GTEX-13RTJ
SRR1381543	GTEX-12WS9
SRR1331597	GTEX-13OVJ
SRR1486626	GTEX-ZAB4
SRR1407315	GTEX-13OVJ
SRR1466850	GTEX-13FXS
SRR1451964	GTEX-YJ89
SRR807591	GTEX-WVLH
SRR1085975	GTEX-XMD1
SRR1319019	GTEX-13CIG
SRR1345478	GTEX-13CZV
SRR1078879	GTEX-X585
SRR1475257	GTEX-14ABY
SRR614455	GTEX-RNOR
SRR1388168	GTEX-12WSF
SRR657973	GTEX-T6MN
SRR1360674	GTEX-12ZZW
SRR1082328	GTEX-X585
SRR1420625	GTEX-ZDXO
SRR1478946	GTEX-13OW5
SRR1454950	GTEX-131XH
SRR1358561	GTEX-13JUV
SRR1392637	GTEX-13112
SRR1440699	GTEX-11UD1
SRR612623	GTEX-QVJO
SRR1415095	GTEX-139TT
SRR1440246	GTEX-12WSE
SRR601287	GTEX-N7MT
SRR1459655	GTEX-12ZZX
SRR817797	GTEX-WL46
SRR1329377	GTEX-13O3Q
SRR1473654	GTEX-147GR
SRR1406976	GTEX-Y8DK
SRR1341521	GTEX-13FLV
SRR1475675	GTEX-11ZTS
SRR602540	GTEX-Q2AG
SRR1453569	GTEX-12WSA
SRR1321046	GTEX-13CF2
SRR662138	GTEX-S7SE
SRR1362417	GTEX-13S7M
SRR1456333	GTEX-13FHP
SRR1402454	GTEX-13OVL
SRR1379450	GTEX-13FLW
SRR1361757	GTEX-14BIM
SRR1431717	GTEX-13NYB
SRR1310113	GTEX-11GSO
SRR1468381	GTEX-12WSI
SRR1400245	GTEX-13SLW
SRR1430570	GTEX-13G51
SRR1360718	GTEX-X4EP
SRR1440308	GTEX-ZUA1
SRR603397	GTEX-NPJ7
SRR1459585	GTEX-ZV68
SRR1455305	GTEX-13FHP
SRR1471435	GTEX-13G51
SRR1445347	GTEX-139TT
SRR607647	GTEX-PWO3
SRR1491293	GTEX-13JVG
SRR599486	GTEX-N7MT
SRR1331466	GTEX-145MH
SRR1480479	GTEX-13X6I
SRR1336357	GTEX-13VXU
SRR1417505	GTEX-13FLW
SRR1355262	GTEX-11NV4
SRR1320012	GTEX-11WQC
SRR1413625	GTEX-1313W
SRR661925	GTEX-UTHO
SRR657731	GTEX-QDT8
SRR1419148	GTEX-13N2G
SRR1330699	GTEX-ZVT3
SRR1455171	GTEX-YFC4
SRR1332048	GTEX-12ZZW
SRR1374115	GTEX-ZVT3
SRR663693	GTEX-T5JC
SRR1086561	GTEX-X4XX
SRR1320560	GTEX-13NYS
SRR818469	GTEX-OXRO
SRR1466069	GTEX-14ABY
SRR665393	GTEX-T5JC
SRR1374414	GTEX-13NYS
SRR1430884	GTEX-ZAB4
SRR1416096	GTEX-ZXG5
SRR1338923	GTEX-13OW8
SRR1340202	GTEX-13OVH
SRR1409351	GTEX-11GSP
SRR659121	GTEX-T5JC
SRR1391879	GTEX-13OW7
SRR1343197	GTEX-145MG
SRR1471922	GTEX-132Q8
SRR1072178	GTEX-XMD1
SRR1444559	GTEX-13CF2
SRR1331511	GTEX-12WSH
SRR665563	GTEX-QMR6
SRR1335688	GTEX-13OVJ
SRR1329761	GTEX-12ZZX
SRR1414684	GTEX-12WSA
SRR817775	GTEX-WVLH
SRR1445238	GTEX-145MI
SRR818396	GTEX-WVLH
SRR1324043	GTEX-13OW6
SRR1486560	GTEX-12ZZY
SRR1408327	GTEX-13QJC
SRR1392725	GTEX-ZV68
SRR1315761	GTEX-13OW8
SRR1348861	GTEX-YJ89
SRR1455369	GTEX-11TUW
SRR5605672	0_UMARY-1038_UMARY-1038
SRR5588937	0_SH-94-35_SH-94-35
SRR5605671	0_UMARY_1037
SRR5588971	0_SH-99-02_SH-99-02
HRA_00415	CGND-HDA-01326-b38
HRA_00427	CGND-HDA-01328-b38
