R5609	Br1947
CMC_HBCC_RNA_PFC_3009	4578969151_R01C02
CMC_HBCC_RNA_PFC_3403	Br2002
CMC_HBCC_RNA_PFC_3410	3999338075_R04C01
CMC_HBCC_RNA_PFC_3245	5535522142_R01C01
CMC_HBCC_RNA_PFC_3217	Br2022
CMC_HBCC_RNA_PFC_2994	4572348805_R01C02
CMC_HBCC_RNA_PFC_3137	4256126194_A
CMC_HBCC_RNA_PFC_3027	Br1371
CMC_HBCC_RNA_PFC_3026	4572348856_R01C02
CMC_HBCC_RNA_PFC_3221	Br1163
CMC_HBCC_RNA_PFC_3016	4578977116_R01C01
CMC_HBCC_RNA_PFC_3590	3999495045_R04C01
CMC_HBCC_RNA_PFC_3046	Br978
CMC_HBCC_RNA_PFC_3192	4463344335_R01C02
CMC_HBCC_RNA_PFC_3336	4572348380_R01C01
CMC_HBCC_RNA_PFC_3106	Br1350
CMC_HBCC_RNA_PFC_3204	4463344553_R01C01
CMC_HBCC_RNA_PFC_3445	3999495005_R02C01
CMC_HBCC_RNA_PFC_3162	4572348358_R01C02
CMC_HBCC_RNA_PFC_3199	4463344384_R01C02
CMC_HBCC_RNA_PFC_3030	4578977011_R01C02
CMC_HBCC_RNA_PFC_3423	3999514104_R01C01
CMC_HBCC_RNA_PFC_3382	4040296088_A
CMC_HBCC_RNA_PFC_3449	9348679004_R01C01
CMC_HBCC_RNA_PFC_2992	3999495005_R03C01
CMC_HBCC_RNA_PFC_3550	3999495085_R03C01
CMC_HBCC_RNA_PFC_3091	Br1384
CMC_HBCC_RNA_PFC_3909	3999495136_R03C01
CMC_HBCC_RNA_PFC_3177	4572348521_R01C02
CMC_HBCC_RNA_PFC_3375	4031091048_A
CMC_HBCC_RNA_PFC_3149	Br1536
CMC_HBCC_RNA_PFC_3179	4040296033_A
CMC_HBCC_RNA_PFC_3063	Br1879
CMC_HBCC_RNA_PFC_3010	5421787257_R01C02
CMC_HBCC_RNA_PFC_3132	4578977036_R01C02
CMC_HBCC_RNA_PFC_3392	4584664141_R01C02
CMC_HBCC_RNA_PFC_3372	4040296078_A
CMC_HBCC_RNA_PFC_3366	4256126133_A
CMC_HBCC_RNA_PFC_3597	3999338053_R01C01
CMC_HBCC_RNA_PFC_3097	4040296073_A
CMC_HBCC_RNA_PFC_3013	5421787095_R01C02
CMC_HBCC_RNA_PFC_3201	Br1967
CMC_HBCC_RNA_PFC_3054	4572348475_R01C02
CMC_HBCC_RNA_PFC_3343	Br1437
CMC_HBCC_RNA_PFC_3087	4256126040_A
CMC_HBCC_RNA_PFC_2984	Br1084
CMC_HBCC_RNA_PFC_3460	3999338098_R03C01
CMC_HBCC_RNA_PFC_3031	3999495121_R04C01
CMC_HBCC_RNA_PFC_3387	4578977010_R01C01
CMC_HBCC_RNA_PFC_2970	Br1693
CMC_HBCC_RNA_PFC_3214	4572348434_R01C02
CMC_HBCC_RNA_PFC_3582	9348679004_R04C01
CMC_HBCC_RNA_PFC_2947	5421787064_R01C02
CMC_HBCC_RNA_PFC_3154	4578969111_R01C02
CMC_HBCC_RNA_PFC_3354	5535522021_R01C02
CMC_HBCC_RNA_PFC_3088	Br1504
CMC_HBCC_RNA_PFC_2999	Br2020
CMC_HBCC_RNA_PFC_3228	4572348063_R01C01
CMC_HBCC_RNA_PFC_3098	Br1340
CMC_HBCC_RNA_PFC_3212	3999514046_R04C01
CMC_HBCC_RNA_PFC_3113	4031091035_A
CMC_HBCC_RNA_PFC_3089	Br1204
CMC_HBCC_RNA_PFC_3431	3999514081_R02C01
CMC_HBCC_RNA_PFC_3592	9348679032_R03C01
CMC_HBCC_RNA_PFC_2954	Br2038
CMC_HBCC_RNA_PFC_3371	4256126251_A
CMC_HBCC_RNA_PFC_3005	5421787238_R01C01
CMC_HBCC_RNA_PFC_3232	5535522165_R01C02
CMC_HBCC_RNA_PFC_3080	Br1275
CMC_HBCC_RNA_PFC_3108	5511192105_R01C01
CMC_HBCC_RNA_PFC_3346	4572348854_R01C02
CMC_HBCC_RNA_PFC_3082	4040296080_A
CMC_HBCC_RNA_PFC_3161	4572348278_R01C02
CMC_HBCC_RNA_PFC_3219	4578951098_R01C01
CMC_HBCC_RNA_PFC_3059	4040296091_A
CMC_HBCC_RNA_PFC_3417	9373408021_R04C01
CMC_HBCC_RNA_PFC_3861	4463344451_R01C01
CMC_HBCC_RNA_PFC_3433	3999514140_R04C01
CMC_HBCC_RNA_PFC_3599	3999514129_R02C01
CMC_HBCC_RNA_PFC_3542	3999495019_R04C01
CMC_HBCC_RNA_PFC_3171	4572348357_R01C01
CMC_HBCC_RNA_PFC_3349	Br1752
CMC_HBCC_RNA_PFC_3110	4572348823_R01C01
CMC_HBCC_RNA_PFC_3021	Br1436
CMC_HBCC_RNA_PFC_3163	4040296039_A
CMC_HBCC_RNA_PFC_3134	Br1473
CMC_HBCC_RNA_PFC_3361	5511205011_R01C02
CMC_HBCC_RNA_PFC_3004	Br1665
CMC_HBCC_RNA_PFC_3536	3999338101_R04C01
CMC_HBCC_RNA_PFC_2943	5421787153_R01C01
CMC_HBCC_RNA_PFC_3523	3999495078_R03C01
CMC_HBCC_RNA_PFC_3508	3999338081_R04C01
CMC_HBCC_RNA_PFC_3119	4040296069_A
CMC_HBCC_RNA_PFC_3515	3999338099_R03C01
CMC_HBCC_RNA_PFC_3406	4040296020_A
CMC_HBCC_RNA_PFC_3405	Br1981
CMC_HBCC_RNA_PFC_3521	3999338072_R02C01
CMC_HBCC_RNA_PFC_3220	5535549069_R01C02
CMC_HBCC_RNA_PFC_3429	3999338092_R04C01
CMC_HBCC_RNA_PFC_3029	Br1580
CMC_HBCC_RNA_PFC_3093	4040296037_A
CMC_HBCC_RNA_PFC_3350	5535522139_R01C02
CMC_HBCC_RNA_PFC_3571	3999514039_R02C01
CMC_HBCC_RNA_PFC_3240	4572348848_R01C02
CMC_HBCC_RNA_PFC_3041	Br1041
CMC_HBCC_RNA_PFC_3003	4572348330_R01C01
CMC_HBCC_RNA_PFC_3058	4040296072_A
CMC_HBCC_RNA_PFC_3103	3999495141_R02C01
CMC_HBCC_RNA_PFC_2975	3999495021_R01C01
CMC_HBCC_RNA_PFC_3190	4463344575_R01C01
CMC_HBCC_RNA_PFC_3395	4040296064_A
CMC_HBCC_RNA_PFC_3359	Br1936
CMC_HBCC_RNA_PFC_3340	4572348403_R01C02
CMC_HBCC_RNA_PFC_3180	4040296067_A
CMC_HBCC_RNA_PFC_3421	3999495153_R03C01
CMC_HBCC_RNA_PFC_2981	Br2271
CMC_HBCC_RNA_PFC_3067	Br1324
CMC_HBCC_RNA_PFC_2972	Br1676
CMC_HBCC_RNA_PFC_2963	5535522132_R01C01
CMC_HBCC_RNA_PFC_3439	3999338105_R01C01
CMC_HBCC_RNA_PFC_3293	Br1760
CMC_HBCC_RNA_PFC_3143	4578977036_R01C01
CMC_HBCC_RNA_PFC_3047	Br1427
CMC_HBCC_RNA_PFC_3022	4578977011_R01C01
CMC_HBCC_RNA_PFC_3077	4256126181_A
CMC_HBCC_RNA_PFC_3015	4578969019_R01C01
CMC_HBCC_RNA_PFC_3408	4578951106_R01C01
CMC_HBCC_RNA_PFC_3049	4572348403_R01C01
CMC_HBCC_RNA_PFC_3552	3999338095_R03C01
CMC_HBCC_RNA_PFC_3083	5535549018_R01C01
CMC_HBCC_RNA_PFC_3215	Br1734
CMC_HBCC_RNA_PFC_3085	4040296096_A
CMC_HBCC_RNA_PFC_3182	4572348821_R01C01
CMC_HBCC_RNA_PFC_3071	4040296066_A
CMC_HBCC_RNA_PFC_3356	4572348847_R01C02
CMC_HBCC_RNA_PFC_3068	Br1214
CMC_HBCC_RNA_PFC_3242	4578977063_R01C01
CMC_HBCC_RNA_PFC_3355	3999514037_R04C01
CMC_HBCC_RNA_PFC_3174	4572348336_R01C01
CMC_HBCC_RNA_PFC_3000	5421787155_R01C02
CMC_HBCC_RNA_PFC_3040	Br1265
CMC_HBCC_RNA_PFC_3038	4584656023_R01C02
CMC_HBCC_RNA_PFC_3238	5535522120_R01C01
CMC_HBCC_RNA_PFC_3189	4256126161_A
CMC_HBCC_RNA_PFC_2968	4572348856_R01C01
CMC_HBCC_RNA_PFC_3043	4562457033_R01C01
CMC_HBCC_RNA_PFC_3573	3999338069_R04C01
CMC_HBCC_RNA_PFC_3213	4572348063_R01C02
CMC_HBCC_RNA_PFC_3176	4040296031_A
CMC_HBCC_RNA_PFC_3381	4578951114_R01C02
CMC_HBCC_RNA_PFC_3159	4040296016_A
CMC_HBCC_RNA_PFC_3178	4040296019_A
CMC_HBCC_RNA_PFC_3229	5535549058_R01C01
CMC_HBCC_RNA_PFC_3881	5535522139_R01C01
CMC_HBCC_RNA_PFC_3339	4572348483_R01C02
CMC_HBCC_RNA_PFC_3388	4031091012_A
CMC_HBCC_RNA_PFC_2959	3999514039_R01C01
CMC_HBCC_RNA_PFC_3365	5511192119_R01C01
CMC_HBCC_RNA_PFC_3076	4031091037_A
CMC_HBCC_RNA_PFC_3173	4463344452_R01C02
CMC_HBCC_RNA_PFC_3374	Br1927
CMC_HBCC_RNA_PFC_3153	4040296001_A
CMC_HBCC_RNA_PFC_3236	Br1511
CMC_HBCC_RNA_PFC_3127	Br1873
CMC_HBCC_RNA_PFC_3563	3999338069_R03C01
CMC_HBCC_RNA_PFC_3894	Br1610
CMC_HBCC_RNA_PFC_3244	4572348603_R01C01
CMC_HBCC_RNA_PFC_3400	4584664035_R01C02
CMC_HBCC_RNA_PFC_3903	Br2084
CMC_HBCC_RNA_PFC_3051	4572348358_R01C01
CMC_HBCC_RNA_PFC_3193	4040296036_A
CMC_HBCC_RNA_PFC_3024	Br1594
CMC_HBCC_RNA_PFC_3419	3999514124_R02C01
CMC_HBCC_RNA_PFC_3196	Br1099
CMC_HBCC_RNA_PFC_3517	3999338102_R01C01
CMC_HBCC_RNA_PFC_3185	4031091001_A
CMC_HBCC_RNA_PFC_3105	4572348822_R01C01
CMC_HBCC_RNA_PFC_3886	5535522105_R01C01
CMC_HBCC_RNA_PFC_3458	9348679032_R01C01
CMC_HBCC_RNA_PFC_3601	3999338095_R02C01
CMC_HBCC_RNA_PFC_3385	4040296060_A
CMC_HBCC_RNA_PFC_3060	Br1963
CMC_HBCC_RNA_PFC_3191	3999495136_R01C01
CMC_HBCC_RNA_PFC_3362	4031091116_A
CMC_HBCC_RNA_PFC_3579	3999495153_R02C01
CMC_HBCC_RNA_PFC_3352	3999514037_R01C01
CMC_HBCC_RNA_PFC_3036	4584656024_R01C01
CMC_HBCC_RNA_PFC_3225	5535549032_R01C01
CMC_HBCC_RNA_PFC_3035	4578977077_R01C01
CMC_HBCC_RNA_PFC_3230	4572348820_R01C01
CMC_HBCC_RNA_PFC_2976	4572348538_R01C02
CMC_HBCC_RNA_PFC_3211	5535522158_R01C02
CMC_HBCC_RNA_PFC_3358	4040296084_A
CMC_HBCC_RNA_PFC_3443	3999495153_R01C01
CMC_HBCC_RNA_PFC_3235	4572348320_R01C01
CMC_HBCC_RNA_PFC_3164	4463344166_R01C02
CMC_HBCC_RNA_PFC_3577	3999338081_R02C01
CMC_HBCC_RNA_PFC_3241	4572348854_R01C01
CMC_HBCC_RNA_PFC_3014	Br884
CMC_HBCC_RNA_PFC_3019	Br1303
CMC_HBCC_RNA_PFC_3151	4463344451_R01C02
CMC_HBCC_RNA_PFC_3451	3999338099_R02C01
CMC_HBCC_RNA_PFC_3181	Br1040
CMC_HBCC_RNA_PFC_3907	5535549007_R01C02
CMC_HBCC_RNA_PFC_2962	5421787069_R01C01
CMC_HBCC_RNA_PFC_3069	Br1271
CMC_HBCC_RNA_PFC_2952	Br1703
CMC_HBCC_RNA_PFC_3109	4256126121_A
CMC_HBCC_RNA_PFC_3364	Br1974
CMC_HBCC_RNA_PFC_3066	4572348328_R01C01
CMC_HBCC_RNA_PFC_3453	3999495020_R04C01
CMC_HBCC_RNA_PFC_3118	4256126182_A
CMC_HBCC_RNA_PFC_3386	4463344334_R01C02
CMC_HBCC_RNA_PFC_3528	3999338075_R02C01
CMC_HBCC_RNA_PFC_3074	4256126252_A
CMC_HBCC_RNA_PFC_3183	4040296081_A
CMC_HBCC_RNA_PFC_3170	4463344542_R01C01
CMC_HBCC_RNA_PFC_3028	4578977115_R01C01
PITT_RNA_PFC_822	0_PITT_822
MSSM_RNA_PFC_95	0_MSSM_95
MSSM_RNA_PFC_66	0_MSSM_66
PITT_RNA_BP_PFC_1121	0_Pitt_BP_1121
MSSM_RNA_PFC_128	0_MSSM_128
PENN_RNA_PFC_77	0_PENN_77
PITT_RNA_PFC_1350	0_PITT_1350
MSSM_RNA_PFC_356	0_MSSM_356
PENN_RNA_PFC_68	0_PENN_68
PITT_RNA_PFC_1686	0_PITT_1686
PITT_RNA_PFC_10003	0_PITT_10003
MSSM_RNA_PFC_135	0_MSSM_135
MSSM_RNA_PFC_130	0_MSSM_130
PENN_RNA_PFC_33	0_PENN_33
PENN_RNA_PFC_42	0_PENN_42
MSSM_RNA_PFC_242	0_MSSM_242
PITT_RNA_BP_PFC_1324	0_PITT_1324
MSSM_RNA_PFC_370	0_MSSM_370
MSSM_RNA_PFC_139	0_MSSM_139
MSSM_RNA_PFC_148	0_MSSM_148
PENN_RNA_PFC_23	0_PENN_23
MSSM_RNA_PFC_399	0_MSSM_399
PITT_RNA_PFC_587	0_PITT_587
PENN_RNA_PFC_94	0_PENN_94
PITT_RNA_BP_PFC_716	0_Pitt_BP_716
PITT_RNA_BP_PFC_1282	0_PITT_1282
PITT_RNA_BP_PFC_1403	0_Pitt_BP_1403
PENN_RNA_PFC_106	0_PENN_106
PENN_RNA_PFC_80	0_PENN_80
PITT_RNA_PFC_1222	0_PITT_1222
MSSM_RNA_PFC_287	0_MSSM_287
MSSM_RNA_PFC_171	0_MSSM_171
MSSM_RNA_PFC_255	0_MSSM_255
MSSM_RNA_PFC_262	0_MSSM_262
MSSM_RNA_PFC_34	0_MSSM_34
PITT_RNA_BP_PFC_1207	0_Pitt_BP_1207
MSSM_RNA_PFC_40	0_MSSM_40
MSSM_RNA_PFC_91	0_MSSM_91
PITT_RNA_PFC_1268	0_PITT_1268
PITT_RNA_PFC_1474	0_PITT_1474
MSSM_RNA_PFC_182	0_MSSM_182
PITT_RNA_PFC_551	0_PITT_551
MSSM_RNA_PFC_186	0_MSSM_186
MSSM_RNA_PFC_126	0_MSSM_126
MSSM_RNA_PFC_238	0_MSSM_238
MSSM_RNA_PFC_269	0_MSSM_269
PITT_RNA_PFC_1178	0_PITT_1178
MSSM_RNA_PFC_344	0_MSSM_344
MSSM_RNA_PFC_388	0_MSSM_388
MSSM_RNA_PFC_65	0_MSSM_65
MSSM_RNA_PFC_59	0_MSSM_59
PITT_RNA_PFC_1518	0_PITT_1518
PITT_RNA_PFC_630	0_PITT_630
MSSM_RNA_PFC_280	0_MSSM_280
MSSM_RNA_PFC_386	0_MSSM_386
PITT_RNA_PFC_10005	0_PITT_10005
MSSM_RNA_PFC_28	0_MSSM_28
PITT_RNA_PFC_604	0_PITT_604
MSSM_RNA_PFC_79	0_MSSM_79
MSSM_RNA_PFC_55	0_MSSM_55
PITT_RNA_BP_PFC_1573	0_Pitt_BP_1573
MSSM_RNA_PFC_113	0_MSSM_113
MSSM_RNA_PFC_87	0_MSSM_87
MSSM_RNA_PFC_63	0_MSSM_63
PITT_RNA_PFC_1579	0_PITT_1579
MSSM_RNA_PFC_397	0_MSSM_397
MSSM_RNA_BP_PFC_23	0_MSSM_BP_23
PITT_RNA_PFC_1307	0_PITT_1307
PITT_RNA_PFC_640	0_PITT_640
MSSM_RNA_PFC_384	0_MSSM_384
PITT_RNA_BP_PFC_697	0_Pitt_BP_697
PITT_RNA_PFC_625	0_PITT_625
MSSM_RNA_PFC_46	0_MSSM_46
PITT_RNA_PFC_857	0_PITT_857
PENN_RNA_PFC_21	0_PENN_21
MSSM_RNA_PFC_166	0_MSSM_166
PENN_RNA_PFC_16	0_PENN_16
PITT_RNA_BP_PFC_1489	0_Pitt_BP_1489
MSSM_RNA_PFC_109	0_MSSM_109
PENN_RNA_PFC_12	0_PENN_12
MSSM_RNA_PFC_152	0_MSSM_152
MSSM_RNA_PFC_125	0_MSSM_125
MSSM_RNA_PFC_60	0_MSSM_60
PITT_RNA_PFC_1336	0_PITT_1336
PENN_RNA_PFC_91	0_PENN_91
MSSM_RNA_BP_PFC_20	0_MSSM_BP_20
MSSM_RNA_PFC_12	0_MSSM_12
MSSM_RNA_PFC_50	0_MSSM_50
MSSM_RNA_PFC_69	0_MSSM_69
PITT_RNA_PFC_1649	0_PITT_1649
PITT_RNA_PFC_1211	0_PITT_1211
PITT_RNA_BP_PFC_1031	0_Pitt_BP_1031
MSSM_RNA_PFC_230	0_MSSM_230
MSSM_RNA_PFC_308	0_MSSM_308
MSSM_RNA_PFC_346	0_MSSM_346
MSSM_RNA_PFC_258	0_MSSM_258
MSSM_RNA_PFC_367	0_MSSM_367
MSSM_RNA_PFC_7	0_MSSM_7
MSSM_RNA_PFC_371	0_MSSM_371
PITT_RNA_PFC_818	0_PITT_818
PITT_RNA_PFC_722	0_PITT_722
MSSM_RNA_PFC_188	0_MSSM_188
PITT_RNA_BP_PFC_1086	0_PITT_1086
MSSM_RNA_PFC_305	0_MSSM_305
MSSM_RNA_PFC_158	0_MSSM_158
PENN_RNA_PFC_6	0_PENN_6
MSSM_RNA_PFC_350	0_MSSM_350
PENN_RNA_PFC_43	0_PENN_43
PENN_RNA_PFC_46	0_PENN_46
PITT_RNA_BP_PFC_10003	0_PITT_10003
PITT_RNA_BP_PFC_1153	0_Pitt_BP_1153
PITT_RNA_PFC_581	0_PITT_581
PITT_RNA_BP_PFC_1565	0_Pitt_BP_1565
MSSM_RNA_PFC_41	0_MSSM_41
MSSM_RNA_PFC_300	0_MSSM_300
PITT_RNA_PFC_739	0_PITT_739
PITT_RNA_PFC_1691	0_PITT_1691
MSSM_RNA_PFC_241	0_MSSM_241
PENN_RNA_PFC_48	0_PENN_48
PITT_RNA_BP_PFC_1632	0_Pitt_BP_1632
MSSM_RNA_BP_PFC_6	0_MSSM_BP_6
MSSM_RNA_PFC_376	0_MSSM_376
MSSM_RNA_PFC_16	0_MSSM_16
MSSM_RNA_PFC_303	0_MSSM_303
MSSM_RNA_BP_PFC_14	0_MSSM_BP_14
PENN_RNA_PFC_81	0_PENN_81
PITT_RNA_PFC_1270	0_PITT_1270
PENN_RNA_PFC_78	0_PENN_78
MSSM_RNA_PFC_387	0_MSSM_387
MSSM_RNA_PFC_342	0_MSSM_342
MSSM_RNA_PFC_299	0_MSSM_299
MSSM_RNA_PFC_133	0_MSSM_133
PENN_RNA_PFC_51	0_PENN_51
MSSM_RNA_BP_PFC_17	0_MSSM_BP_17
MSSM_RNA_PFC_211	0_MSSM_211
MSSM_RNA_PFC_98	0_MSSM_98
MSSM_RNA_PFC_378	0_MSSM_378
MSSM_RNA_PFC_10	0_MSSM_10
MSSM_RNA_PFC_53	0_MSSM_53
PENN_RNA_PFC_66	0_PENN_66
PITT_RNA_PFC_1173	0_PITT_1173
MSSM_RNA_PFC_270	0_MSSM_270
MSSM_RNA_PFC_26	0_MSSM_26
MSSM_RNA_PFC_181	0_MSSM_181
MSSM_RNA_PFC_326	0_MSSM_326
PENN_RNA_PFC_11	0_PENN_11
MSSM_RNA_PFC_347	0_MSSM_347
MSSM_RNA_PFC_382	0_MSSM_382
MSSM_RNA_PFC_365	0_MSSM_365
MSSM_RNA_PFC_9	0_MSSM_9
MSSM_RNA_PFC_312	0_MSSM_312
MSSM_RNA_BP_PFC_5	0_MSSM_BP_5
MSSM_RNA_PFC_58	0_MSSM_58
MSSM_RNA_PFC_13	0_MSSM_13
PITT_RNA_BP_PFC_686	0_PITT_686
MSSM_RNA_PFC_233	0_MSSM_233
MSSM_RNA_PFC_114	0_MSSM_114
PENN_RNA_PFC_24	0_PENN_24
PITT_RNA_PFC_781	0_PITT_781
MSSM_RNA_PFC_229	0_MSSM_229
PENN_RNA_PFC_41	0_PENN_41
MSSM_RNA_PFC_357	0_MSSM_357
MSSM_RNA_PFC_122	0_MSSM_122
MSSM_RNA_PFC_327	0_MSSM_327
MSSM_RNA_PFC_176	0_MSSM_176
PENN_RNA_PFC_97	0_PENN_97
PITT_RNA_BP_PFC_1102	0_Pitt_BP_1102
MSSM_RNA_PFC_119	0_MSSM_119
PITT_RNA_BP_PFC_1394	0_Pitt_BP_1394
PITT_RNA_BP_PFC_1092	0_PITT_1092
MSSM_RNA_PFC_172	0_MSSM_172
PITT_RNA_BP_PFC_1603	0_Pitt_BP_1603
PITT_RNA_BP_PFC_945	0_Pitt_BP_945
PITT_RNA_BP_PFC_1473	0_Pitt_BP_1473
MSSM_RNA_PFC_273	0_MSSM_273
PENN_RNA_PFC_103	0_PENN_103
MSSM_RNA_PFC_141	0_MSSM_141
MSSM_RNA_PFC_392	0_MSSM_392
MSSM_RNA_PFC_80	0_MSSM_80
MSSM_RNA_PFC_32	0_MSSM_32
MSSM_RNA_PFC_164	0_MSSM_164
MSSM_RNA_PFC_89	0_MSSM_89
PENN_RNA_PFC_38	0_PENN_38
PITT_RNA_PFC_686	0_PITT_686
PENN_RNA_PFC_71	0_PENN_71
PITT_RNA_PFC_1454	0_PITT_1454
PENN_RNA_PFC_37	0_PENN_37
PITT_RNA_PFC_1583	0_PITT_1583
MSSM_RNA_PFC_398	0_MSSM_398
MSSM_RNA_PFC_117	0_MSSM_117
MSSM_RNA_PFC_162	0_MSSM_162
MSSM_RNA_PFC_156	0_MSSM_156
MSSM_RNA_PFC_244	0_MSSM_244
PENN_RNA_PFC_50	0_PENN_50
MSSM_RNA_PFC_379	0_MSSM_379
PENN_RNA_PFC_65	0_PENN_65
MSSM_RNA_PFC_232	0_MSSM_232
MSSM_RNA_BP_PFC_19	0_MSSM_BP_19
MSSM_RNA_PFC_116	0_MSSM_116
MSSM_RNA_PFC_37	0_MSSM_37
MSSM_RNA_PFC_61	0_MSSM_61
MSSM_RNA_PFC_5	0_MSSM_5
MSSM_RNA_PFC_2	0_MSSM_2
PITT_RNA_PFC_802	0_PITT_802
MSSM_RNA_PFC_118	0_MSSM_118
MSSM_RNA_BP_PFC_9	0_MSSM_BP_9
MSSM_RNA_PFC_110	0_MSSM_110
MSSM_RNA_PFC_131	0_MSSM_131
PENN_RNA_PFC_44	0_PENN_44
PITT_RNA_PFC_917	0_PITT_917
MSSM_RNA_PFC_296	0_MSSM_296
MSSM_RNA_PFC_200	0_MSSM_200
MSSM_RNA_PFC_212	0_MSSM_212
PITT_RNA_PFC_1391	0_PITT_1391
MSSM_RNA_PFC_234	0_MSSM_234
PITT_RNA_BP_PFC_10006	0_Pitt_BP_10006
MSSM_RNA_PFC_231	0_MSSM_231
PITT_RNA_BP_PFC_789	0_Pitt_BP_789
MSSM_RNA_PFC_96	0_MSSM_96
PITT_RNA_PFC_1191	0_PITT_1191
PITT_RNA_PFC_1092	0_PITT_1092
PITT_RNA_PFC_1086	0_PITT_1086
MSSM_RNA_PFC_226	0_MSSM_226
PITT_RNA_PFC_10024	0_PITT_10024
MSSM_RNA_PFC_51	0_MSSM_51
MSSM_RNA_PFC_288	0_MSSM_288
PITT_RNA_PFC_1386	0_PITT_1386
PITT_RNA_BP_PFC_886	0_Pitt_BP_886
MSSM_RNA_PFC_167	0_MSSM_167
MSSM_RNA_PFC_184	0_MSSM_183
PITT_RNA_PFC_539	0_PITT_539
MSSM_RNA_PFC_338	0_MSSM_338
PENN_RNA_PFC_7	0_PENN_7
PITT_RNA_PFC_547	0_PITT_547
PITT_RNA_PFC_1420	0_PITT_1420
MSSM_RNA_PFC_274	0_MSSM_274
MSSM_RNA_PFC_368	0_MSSM_368
PITT_RNA_BP_PFC_1391	0_PITT_1391
PENN_RNA_PFC_62	0_PENN_62
MSSM_RNA_PFC_84	0_MSSM_84
PITT_RNA_BP_PFC_10019	0_Pitt_BP_10019
MSSM_RNA_PFC_310	0_MSSM_310
MSSM_RNA_PFC_375	0_MSSM_375
PENN_RNA_PFC_58	0_PENN_58
MSSM_RNA_PFC_185	0_MSSM_185
MSSM_RNA_PFC_127	0_MSSM_127
PITT_RNA_PFC_1554	0_PITT_1554
PENN_RNA_PFC_79	0_PENN_79
MSSM_RNA_BP_PFC_16	0_MSSM_BP_16
MSSM_RNA_PFC_245	0_MSSM_245
MSSM_RNA_PFC_153	0_MSSM_153
MSSM_RNA_PFC_315	0_MSSM_315
PITT_RNA_PFC_516	0_PITT_516
MSSM_RNA_PFC_100	0_MSSM_100
MSSM_RNA_PFC_83	0_MSSM_83
PENN_RNA_PFC_96	0_PENN_96
MSSM_RNA_PFC_250	0_MSSM_250
PENN_RNA_PFC_10	0_PENN_10
MSSM_RNA_PFC_68	0_MSSM_68
MSSM_RNA_PFC_39	0_MSSM_39
PENN_RNA_PFC_14	0_PENN_14
MSSM_RNA_PFC_281	0_MSSM_281
PITT_RNA_PFC_621	0_PITT_621
PENN_RNA_PFC_67	0_PENN_67
PITT_RNA_PFC_634	0_PITT_634
MSSM_RNA_PFC_279	0_MSSM_279
MSSM_RNA_PFC_321	0_MSSM_321
PITT_RNA_PFC_1367	0_PITT_1367
PITT_RNA_PFC_1088	0_PITT_1088
MSSM_RNA_PFC_282	0_MSSM_282
PITT_RNA_PFC_1324	0_PITT_1324
MSSM_RNA_PFC_361	0_MSSM_361
MSSM_RNA_PFC_64	0_MSSM_64
PENN_RNA_PFC_39	0_PENN_39
MSSM_RNA_PFC_183	0_MSSM_184
PITT_RNA_PFC_1047	0_PITT_1047
MSSM_RNA_PFC_204	0_MSSM_204
PENN_RNA_PFC_52	0_PENN_52
PENN_RNA_PFC_100	0_PENN_100
PITT_RNA_PFC_1635	0_PITT_1635
PITT_RNA_PFC_533	0_PITT_533
MSSM_RNA_PFC_271	0_MSSM_271
MSSM_RNA_PFC_220	0_MSSM_220
PENN_RNA_PFC_22	0_PENN_22
PITT_RNA_BP_PFC_957	0_Pitt_BP_957
PITT_RNA_BP_PFC_1374	0_PITT_1374
PENN_RNA_PFC_109	0_PENN_109
MSSM_RNA_PFC_196	0_MSSM_196
MSSM_RNA_PFC_381	0_MSSM_381
MSSM_RNA_PFC_396	0_MSSM_396
MSSM_RNA_PFC_173	0_MSSM_173
MSSM_RNA_PFC_337	0_MSSM_337
MSSM_RNA_PFC_351	0_MSSM_351
MSSM_RNA_PFC_223	0_MSSM_223
MSSM_RNA_PFC_47	0_MSSM_47
PITT_RNA_PFC_10026	0_PITT_10026
PITT_RNA_PFC_1372	0_PITT_1372
PITT_RNA_PFC_1105	0_PITT_1105
PITT_RNA_PFC_1341	0_PITT_1341
MSSM_RNA_PFC_134	0_MSSM_134
MSSM_RNA_PFC_180	0_MSSM_180
MSSM_RNA_PFC_111	0_MSSM_111
PENN_RNA_PFC_26	0_PENN_26
PITT_RNA_PFC_694	0_PITT_694
MSSM_RNA_PFC_383	0_MSSM_383
MSSM_RNA_PFC_221	0_MSSM_221
MSSM_RNA_PFC_160	0_MSSM_160
PITT_RNA_PFC_970	0_PITT_970
MSSM_RNA_PFC_174	0_MSSM_174
MSSM_RNA_PFC_142	0_MSSM_142
PITT_RNA_BP_PFC_1537	0_Pitt_BP_1537
MSSM_RNA_PFC_4	0_MSSM_4
PITT_RNA_PFC_1433	0_PITT_1433
MSSM_RNA_PFC_195	0_MSSM_195
PITT_RNA_BP_PFC_1483	0_Pitt_BP_1483
MSSM_RNA_PFC_364	0_MSSM_364
PENN_RNA_PFC_83	0_PENN_83
PITT_RNA_BP_PFC_1196	0_Pitt_BP_1196
PITT_RNA_BP_PFC_795	0_Pitt_BP_795
PITT_RNA_BP_PFC_1770	0_Pitt_BP_1770
MSSM_RNA_PFC_239	0_MSSM_239
