0_MSSM_233	MSSM_RNA_PFC_233
0_MSSM_239	MSSM_RNA_PFC_239
0_Pitt_BP_1180	PITT_RNA_BP_PFC_1180
0_Pitt_BP_1181	PITT_RNA_BP_PFC_1181
0_MSSM_250	MSSM_RNA_PFC_250
0_MSSM_251	MSSM_RNA_PFC_251
0_MSSM_248	MSSM_RNA_PFC_248
0_MSSM_243	MSSM_RNA_PFC_243
0_MSSM_242	MSSM_RNA_PFC_242
0_MSSM_245	MSSM_RNA_PFC_245
0_Pitt_BP_1196	PITT_RNA_BP_PFC_1196
0_MSSM_261	MSSM_RNA_PFC_261
0_MSSM_260	MSSM_RNA_PFC_304
0_MSSM_258	MSSM_RNA_PFC_258
0_MSSM_257	MSSM_RNA_PFC_257
0_MSSM_254	MSSM_RNA_PFC_254
0_MSSM_253	MSSM_RNA_PFC_253
0_MSSM_256	MSSM_RNA_PFC_256
0_MSSM_272	MSSM_RNA_PFC_272
0_MSSM_274	MSSM_RNA_PFC_274
0_MSSM_273	MSSM_RNA_PFC_273
0_MSSM_270	MSSM_RNA_PFC_270
0_MSSM_269	MSSM_RNA_PFC_269
0_MSSM_265	MSSM_RNA_PFC_265
0_MSSM_264	MSSM_RNA_PFC_264
0_MSSM_266	MSSM_RNA_PFC_266
0_Pitt_BP_1130	PITT_RNA_BP_PFC_1130
0_PITT_1336	PITT_RNA_PFC_1336
0_PITT_1326	PITT_RNA_PFC_1326
0_PITT_1324	PITT_RNA_BP_PFC_1324
0_Pitt_BP_1153	PITT_RNA_BP_PFC_1153
0_PITT_1314	PITT_RNA_PFC_1314
0_PITT_739	PITT_RNA_PFC_739
0_Pitt_BP_1102	PITT_RNA_BP_PFC_1102
0_PITT_1391	PITT_RNA_PFC_1391
0_PITT_1386	PITT_RNA_PFC_1386
0_PENN_92	PENN_RNA_PFC_92
0_PENN_95	PENN_RNA_PFC_95
0_PENN_91	PENN_RNA_PFC_91
0_PITT_1374	PITT_RNA_BP_PFC_1374
0_PITT_1372	PITT_RNA_PFC_1372
0_PENN_97	PENN_RNA_PFC_97
0_PENN_96	PENN_RNA_PFC_96
0_PENN_99	PENN_RNA_PFC_99
0_PENN_98	PENN_RNA_PFC_98
0_PITT_1367	PITT_RNA_PFC_1367
