RnaID	GenotypeID	MetaCohort	RNADataset	GenotypeIndividualsDataset
A653_034	0_018_09_1	Braineac	EBB	Braineac
A653_103	0_026_09_1	Braineac	EBB	Braineac
A653_1116	0_021_10_1	Braineac	EBB	Braineac
A653_813	0_020_07_1	Braineac	EBB	Braineac
A653_286	0_018_06_1	Braineac	EBB	Braineac
A653_160	0_036_08_1	Braineac	EBB	Braineac
A653_284	0_004_06_1	Braineac	EBB	Braineac
A653_315	0_009_09_1	Braineac	EBB	Braineac
A653_1208	0_96_32_1	Braineac	SHRI	Braineac
A653_238	0_033_08_1	Braineac	EBB	Braineac
A653_210	0_022_09_1	Braineac	EBB	Braineac
A653_224	0_025_05_1	Braineac	EBB	Braineac
A653_524	0_032_09_1	Braineac	EBB	Braineac
A653_1023	0_00_38_1	Braineac	SHRI	Braineac
A653_627	0_033_09_1	Braineac	EBB	Braineac
A653_061	0_033_08_1	Braineac	EBB	Braineac
A653_140	0_021_08_1	Braineac	EBB	Braineac
A653_876	0_010_10_1	Braineac	EBB	Braineac
A653_051	0_022_06_1	Braineac	EBB	Braineac
A653_899	0_004_10_1	Braineac	EBB	Braineac
A653_1072	0_015_10_1	Braineac	EBB	Braineac
A653_147	0_009_09_1	Braineac	EBB	Braineac
A653_679	0_030_06_1	Braineac	EBB	Braineac
A653_525	0_034_09_1	Braineac	EBB	Braineac
A653_320	0_016_09_1	Braineac	EBB	Braineac
A653_636	0_002_08_1	Braineac	EBB	Braineac
A653_945	0_002_10_1	Braineac	EBB	Braineac
A653_395	0_009_09_1	Braineac	EBB	Braineac
A653_093	0_004_08_1	Braineac	EBB	Braineac
A653_1001	0_98_34_1	Braineac	SHRI	Braineac
A653_055	0_018_08_1	Braineac	EBB	Braineac
A653_264	0_018_09_1	Braineac	EBB	Braineac
A653_044	0_024_08_1	Braineac	EBB	Braineac
A653_481	0_030_09_1	Braineac	EBB	Braineac
A653_145	0_031_08_1	Braineac	EBB	Braineac
A653_473	0_034_06_1	Braineac	EBB	Braineac
A653_177	0_015_07_1	Braineac	EBB	Braineac
A653_1309	0_032_10_1	Braineac	EBB	Braineac
A653_043	0_004_06_1	Braineac	EBB	Braineac
A653_338	0_010_09_1	Braineac	EBB	Braineac
A653_1291	0_016_10_1	Braineac	EBB	Braineac
A653_205	0_040_08_1	Braineac	EBB	Braineac
A653_100	0_016_08_1	Braineac	EBB	Braineac
A653_1223	0_08_88_1	Braineac	SHRI	Braineac
A653_134	0_006_09_1	Braineac	EBB	Braineac
A653_1031	0_024_10_1	Braineac	EBB	Braineac
A653_974	0_001_10_1	Braineac	EBB	Braineac
A653_441	0_032_09_1	Braineac	EBB	Braineac
A653_1444	0_92_32_1	Braineac	SHRI	Braineac
A653_752	0_018_05_1	Braineac	EBB	Braineac
A653_122	0_005_09_1	Braineac	EBB	Braineac
A653_669	0_018_07_1	Braineac	EBB	Braineac
A653_882	0_008_10_1	Braineac	EBB	Braineac
A653_1147	0_020_10_1	Braineac	EBB	Braineac
A653_1395	0_014_10_1	Braineac	EBB	Braineac
A653_856	0_030_06_1	Braineac	EBB	Braineac
A653_1253	0_94_35_1	Braineac	SHRI	Braineac
A653_643	0_017_08_1	Braineac	EBB	Braineac
A653_593	0_028_08_1	Braineac	EBB	Braineac
A653_740	0_007_08_1	Braineac	EBB	Braineac
A653_1430	0_028_10_1	Braineac	EBB	Braineac
A653_1241	0_95_26_1	Braineac	SHRI	Braineac
A653_1238	0_04_19_1	Braineac	SHRI	Braineac
A653_048	0_016_07_1	Braineac	EBB	Braineac
A653_223	0_038_08_1	Braineac	EBB	Braineac
A653_534	0_028_09_1	Braineac	EBB	Braineac
A653_111	0_022_06_1	Braineac	EBB	Braineac
A653_1288	0_018_10_1	Braineac	EBB	Braineac
A653_229	0_021_08_1	Braineac	EBB	Braineac
A653_794	0_036_09_1	Braineac	EBB	Braineac
A653_001	0_024_08_1	Braineac	EBB	Braineac
A653_013	0_016_07_1	Braineac	EBB	Braineac
A653_1185	0_03_28_1	Braineac	SHRI	Braineac
A653_901	0_012_10_1	Braineac	EBB	Braineac
A653_1360	0_97_14_1	Braineac	SHRI	Braineac
A653_710	0_026_07_1	Braineac	EBB	Braineac
A653_190	0_033_08_1	Braineac	EBB	Braineac
A653_738	0_036_09_1	Braineac	EBB	Braineac
