RnaID	GenotypeID	MetaCohort	RNADataset	GenotypeIndividualsDataset
CMC_HBCC_RNA_PFC_3387	4578977010_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_2970	Br1693	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3214	4572348434_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3582	9348679004_R04C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_2947	5421787064_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3154	4578969111_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3354	5535522021_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3088	Br1504	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_2999	Br2020	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3228	4572348063_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3098	Br1340	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3212	3999514046_R04C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3113	4031091035_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3089	Br1204	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3431	3999514081_R02C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3592	9348679032_R03C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_2954	Br2038	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3371	4256126251_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3005	5421787238_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3232	5535522165_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3080	Br1275	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3108	5511192105_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3346	4572348854_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3082	4040296080_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3161	4572348278_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3219	4578951098_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3059	4040296091_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3417	9373408021_R04C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3861	4463344451_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3433	3999514140_R04C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3599	3999514129_R02C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3542	3999495019_R04C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3171	4572348357_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3349	Br1752	PsychEncode	CMC_HBCC	Bipseq_1M
CMC_HBCC_RNA_PFC_3110	4572348823_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3021	Br1436	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3163	4040296039_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3134	Br1473	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3361	5511205011_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3004	Br1665	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3536	3999338101_R04C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_2943	5421787153_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3523	3999495078_R03C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3508	3999338081_R04C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3119	4040296069_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3515	3999338099_R03C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3406	4040296020_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3405	Br1981	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3521	3999338072_R02C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3220	5535549069_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3429	3999338092_R04C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3029	Br1580	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3093	4040296037_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3350	5535522139_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3571	3999514039_R02C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3240	4572348848_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3041	Br1041	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3003	4572348330_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3058	4040296072_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3103	3999495141_R02C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_2975	3999495021_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3190	4463344575_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3395	4040296064_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3359	Br1936	PsychEncode	CMC_HBCC	Bipseq_1M
CMC_HBCC_RNA_PFC_3340	4572348403_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3180	4040296067_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3421	3999495153_R03C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_2981	Br2271	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3067	Br1324	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_2972	Br1676	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_2963	5535522132_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3439	3999338105_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3293	Br1760	PsychEncode	CMC_HBCC	Bipseq_1M
CMC_HBCC_RNA_PFC_3143	4578977036_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3047	Br1427	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3022	4578977011_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3077	4256126181_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3015	4578969019_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3408	4578951106_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3049	4572348403_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3552	3999338095_R03C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3083	5535549018_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3215	Br1734	PsychEncode	CMC_HBCC	Bipseq_1M
CMC_HBCC_RNA_PFC_3085	4040296096_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3182	4572348821_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3071	4040296066_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3356	4572348847_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3068	Br1214	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3242	4578977063_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3355	3999514037_R04C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3174	4572348336_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3000	5421787155_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3040	Br1265	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3038	4584656023_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3238	5535522120_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3189	4256126161_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_2968	4572348856_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3043	4562457033_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3573	3999338069_R04C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3213	4572348063_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3176	4040296031_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3381	4578951114_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3159	4040296016_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3178	4040296019_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3229	5535549058_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3881	5535522139_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3339	4572348483_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3388	4031091012_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_2959	3999514039_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3365	5511192119_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3076	4031091037_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3173	4463344452_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3374	Br1927	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3153	4040296001_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3236	Br1511	PsychEncode	CMC_HBCC	Bipseq_1M
CMC_HBCC_RNA_PFC_3127	Br1873	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3563	3999338069_R03C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3894	Br1610	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3244	4572348603_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3400	4584664035_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3903	Br2084	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3051	4572348358_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3193	4040296036_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3024	Br1594	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3419	3999514124_R02C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3196	Br1099	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3517	3999338102_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3185	4031091001_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3105	4572348822_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3886	5535522105_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3458	9348679032_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3601	3999338095_R02C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3385	4040296060_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3060	Br1963	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3191	3999495136_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3362	4031091116_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3579	3999495153_R02C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3352	3999514037_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3036	4584656024_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3225	5535549032_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3035	4578977077_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3230	4572348820_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_2976	4572348538_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3211	5535522158_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3358	4040296084_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3443	3999495153_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3235	4572348320_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3164	4463344166_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3577	3999338081_R02C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3241	4572348854_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3014	Br884	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3019	Br1303	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3151	4463344451_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3451	3999338099_R02C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3181	Br1040	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3907	5535549007_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_2962	5421787069_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3069	Br1271	PsychEncode	CMC_HBCC	Bipseq_1M
CMC_HBCC_RNA_PFC_2952	Br1703	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3109	4256126121_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3364	Br1974	PsychEncode	CMC_HBCC	LIBD_1M
CMC_HBCC_RNA_PFC_3066	4572348328_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3453	3999495020_R04C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3118	4256126182_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3386	4463344334_R01C02	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3528	3999338075_R02C01	PsychEncode	CMC_HBCC	CMC_HBCC_set3
CMC_HBCC_RNA_PFC_3074	4256126252_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3183	4040296081_A	PsychEncode	CMC_HBCC	CMC_HBCC_set1
CMC_HBCC_RNA_PFC_3170	4463344542_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
CMC_HBCC_RNA_PFC_3028	4578977115_R01C01	PsychEncode	CMC_HBCC	CMC_HBCC_set2
PITT_RNA_PFC_822	0_PITT_822	CMC	Pitt	CMC
MSSM_RNA_PFC_95	0_MSSM_95	CMC	MSSM	CMC
MSSM_RNA_PFC_66	0_MSSM_66	CMC	MSSM	CMC
PITT_RNA_BP_PFC_1121	0_Pitt_BP_1121	CMC	Pitt	CMC
MSSM_RNA_PFC_128	0_MSSM_128	CMC	MSSM	CMC
PENN_RNA_PFC_77	0_PENN_77	CMC	Penn	CMC
PITT_RNA_PFC_1350	0_PITT_1350	CMC	Pitt	CMC
MSSM_RNA_PFC_356	0_MSSM_356	CMC	MSSM	CMC
PENN_RNA_PFC_68	0_PENN_68	CMC	Penn	CMC
PITT_RNA_PFC_1686	0_PITT_1686	CMC	Pitt	CMC
PITT_RNA_PFC_10003	0_PITT_10003	CMC	Pitt	CMC
MSSM_RNA_PFC_135	0_MSSM_135	CMC	MSSM	CMC
MSSM_RNA_PFC_130	0_MSSM_130	CMC	MSSM	CMC
PENN_RNA_PFC_33	0_PENN_33	CMC	Penn	CMC
PENN_RNA_PFC_42	0_PENN_42	CMC	Penn	CMC
MSSM_RNA_PFC_242	0_MSSM_242	CMC	MSSM	CMC
PITT_RNA_BP_PFC_1324	0_PITT_1324	CMC	Pitt	CMC
MSSM_RNA_PFC_370	0_MSSM_370	CMC	MSSM	CMC
MSSM_RNA_PFC_139	0_MSSM_139	CMC	MSSM	CMC
MSSM_RNA_PFC_148	0_MSSM_148	CMC	MSSM	CMC
PENN_RNA_PFC_23	0_PENN_23	CMC	Penn	CMC
MSSM_RNA_PFC_399	0_MSSM_399	CMC	MSSM	CMC
PITT_RNA_PFC_587	0_PITT_587	CMC	Pitt	CMC
PENN_RNA_PFC_94	0_PENN_94	CMC	Penn	CMC
PITT_RNA_BP_PFC_716	0_Pitt_BP_716	CMC	Pitt	CMC
PITT_RNA_BP_PFC_1282	0_PITT_1282	CMC	Pitt	CMC
PITT_RNA_BP_PFC_1403	0_Pitt_BP_1403	CMC	Pitt	CMC
PENN_RNA_PFC_106	0_PENN_106	CMC	Penn	CMC
PENN_RNA_PFC_80	0_PENN_80	CMC	Penn	CMC
PITT_RNA_PFC_1222	0_PITT_1222	CMC	Pitt	CMC
MSSM_RNA_PFC_287	0_MSSM_287	CMC	MSSM	CMC
MSSM_RNA_PFC_171	0_MSSM_171	CMC	MSSM	CMC
MSSM_RNA_PFC_255	0_MSSM_255	CMC	MSSM	CMC
MSSM_RNA_PFC_262	0_MSSM_262	CMC	MSSM	CMC
MSSM_RNA_PFC_34	0_MSSM_34	CMC	MSSM	CMC
PITT_RNA_BP_PFC_1207	0_Pitt_BP_1207	CMC	Pitt	CMC
MSSM_RNA_PFC_40	0_MSSM_40	CMC	MSSM	CMC
MSSM_RNA_PFC_91	0_MSSM_91	CMC	MSSM	CMC
PITT_RNA_PFC_1268	0_PITT_1268	CMC	Pitt	CMC
PITT_RNA_PFC_1474	0_PITT_1474	CMC	Pitt	CMC
MSSM_RNA_PFC_182	0_MSSM_182	CMC	MSSM	CMC
PITT_RNA_PFC_551	0_PITT_551	CMC	Pitt	CMC
MSSM_RNA_PFC_186	0_MSSM_186	CMC	MSSM	CMC
MSSM_RNA_PFC_126	0_MSSM_126	CMC	MSSM	CMC
MSSM_RNA_PFC_238	0_MSSM_238	CMC	MSSM	CMC
MSSM_RNA_PFC_269	0_MSSM_269	CMC	MSSM	CMC
PITT_RNA_PFC_1178	0_PITT_1178	CMC	Pitt	CMC
MSSM_RNA_PFC_344	0_MSSM_344	CMC	MSSM	CMC
MSSM_RNA_PFC_388	0_MSSM_388	CMC	MSSM	CMC
MSSM_RNA_PFC_65	0_MSSM_65	CMC	MSSM	CMC
MSSM_RNA_PFC_59	0_MSSM_59	CMC	MSSM	CMC
PITT_RNA_PFC_1518	0_PITT_1518	CMC	Pitt	CMC
PITT_RNA_PFC_630	0_PITT_630	CMC	Pitt	CMC
MSSM_RNA_PFC_280	0_MSSM_280	CMC	MSSM	CMC
MSSM_RNA_PFC_386	0_MSSM_386	CMC	MSSM	CMC
PITT_RNA_PFC_10005	0_PITT_10005	CMC	Pitt	CMC
MSSM_RNA_PFC_28	0_MSSM_28	CMC	MSSM	CMC
PITT_RNA_PFC_604	0_PITT_604	CMC	Pitt	CMC
MSSM_RNA_PFC_79	0_MSSM_79	CMC	MSSM	CMC
MSSM_RNA_PFC_55	0_MSSM_55	CMC	MSSM	CMC
PITT_RNA_BP_PFC_1573	0_Pitt_BP_1573	CMC	Pitt	CMC
MSSM_RNA_PFC_113	0_MSSM_113	CMC	MSSM	CMC
MSSM_RNA_PFC_87	0_MSSM_87	CMC	MSSM	CMC
MSSM_RNA_PFC_63	0_MSSM_63	CMC	MSSM	CMC
PITT_RNA_PFC_1579	0_PITT_1579	CMC	Pitt	CMC
MSSM_RNA_PFC_397	0_MSSM_397	CMC	MSSM	CMC
MSSM_RNA_BP_PFC_23	0_MSSM_BP_23	CMC	MSSM	CMC
PITT_RNA_PFC_1307	0_PITT_1307	CMC	Pitt	CMC
PITT_RNA_PFC_640	0_PITT_640	CMC	Pitt	CMC
MSSM_RNA_PFC_384	0_MSSM_384	CMC	MSSM	CMC
PITT_RNA_BP_PFC_697	0_Pitt_BP_697	CMC	Pitt	CMC
PITT_RNA_PFC_625	0_PITT_625	CMC	Pitt	CMC
MSSM_RNA_PFC_46	0_MSSM_46	CMC	MSSM	CMC
PITT_RNA_PFC_857	0_PITT_857	CMC	Pitt	CMC
PENN_RNA_PFC_21	0_PENN_21	CMC	Penn	CMC
MSSM_RNA_PFC_166	0_MSSM_166	CMC	MSSM	CMC
PENN_RNA_PFC_16	0_PENN_16	CMC	Penn	CMC
PITT_RNA_BP_PFC_1489	0_Pitt_BP_1489	CMC	Pitt	CMC
MSSM_RNA_PFC_109	0_MSSM_109	CMC	MSSM	CMC
PENN_RNA_PFC_12	0_PENN_12	CMC	Penn	CMC
MSSM_RNA_PFC_152	0_MSSM_152	CMC	MSSM	CMC
MSSM_RNA_PFC_125	0_MSSM_125	CMC	MSSM	CMC
MSSM_RNA_PFC_60	0_MSSM_60	CMC	MSSM	CMC
PITT_RNA_PFC_1336	0_PITT_1336	CMC	Pitt	CMC
PENN_RNA_PFC_91	0_PENN_91	CMC	Penn	CMC
MSSM_RNA_BP_PFC_20	0_MSSM_BP_20	CMC	MSSM	CMC
MSSM_RNA_PFC_12	0_MSSM_12	CMC	MSSM	CMC
MSSM_RNA_PFC_50	0_MSSM_50	CMC	MSSM	CMC
MSSM_RNA_PFC_69	0_MSSM_69	CMC	MSSM	CMC
PITT_RNA_PFC_1649	0_PITT_1649	CMC	Pitt	CMC
PITT_RNA_PFC_1211	0_PITT_1211	CMC	Pitt	CMC
PITT_RNA_BP_PFC_1031	0_Pitt_BP_1031	CMC	Pitt	CMC
MSSM_RNA_PFC_230	0_MSSM_230	CMC	MSSM	CMC
MSSM_RNA_PFC_308	0_MSSM_308	CMC	MSSM	CMC
MSSM_RNA_PFC_346	0_MSSM_346	CMC	MSSM	CMC
MSSM_RNA_PFC_258	0_MSSM_258	CMC	MSSM	CMC
MSSM_RNA_PFC_367	0_MSSM_367	CMC	MSSM	CMC
MSSM_RNA_PFC_7	0_MSSM_7	CMC	MSSM	CMC
MSSM_RNA_PFC_371	0_MSSM_371	CMC	MSSM	CMC
PITT_RNA_PFC_818	0_PITT_818	CMC	Pitt	CMC
PITT_RNA_PFC_722	0_PITT_722	CMC	Pitt	CMC
MSSM_RNA_PFC_188	0_MSSM_188	CMC	MSSM	CMC
PITT_RNA_BP_PFC_1086	0_PITT_1086	CMC	Pitt	CMC
MSSM_RNA_PFC_305	0_MSSM_305	CMC	MSSM	CMC
MSSM_RNA_PFC_158	0_MSSM_158	CMC	MSSM	CMC
PENN_RNA_PFC_6	0_PENN_6	CMC	Penn	CMC
MSSM_RNA_PFC_350	0_MSSM_350	CMC	MSSM	CMC
PENN_RNA_PFC_43	0_PENN_43	CMC	Penn	CMC
PENN_RNA_PFC_46	0_PENN_46	CMC	Penn	CMC
PITT_RNA_BP_PFC_10003	0_PITT_10003	CMC	Pitt	CMC
PITT_RNA_BP_PFC_1153	0_Pitt_BP_1153	CMC	Pitt	CMC
PITT_RNA_PFC_581	0_PITT_581	CMC	Pitt	CMC
PITT_RNA_BP_PFC_1565	0_Pitt_BP_1565	CMC	Pitt	CMC
MSSM_RNA_PFC_41	0_MSSM_41	CMC	MSSM	CMC
MSSM_RNA_PFC_300	0_MSSM_300	CMC	MSSM	CMC
PITT_RNA_PFC_739	0_PITT_739	CMC	Pitt	CMC
PITT_RNA_PFC_1691	0_PITT_1691	CMC	Pitt	CMC
MSSM_RNA_PFC_241	0_MSSM_241	CMC	MSSM	CMC
PENN_RNA_PFC_48	0_PENN_48	CMC	Penn	CMC
PITT_RNA_BP_PFC_1632	0_Pitt_BP_1632	CMC	Pitt	CMC
MSSM_RNA_BP_PFC_6	0_MSSM_BP_6	CMC	MSSM	CMC
